lon	lat	s-max		s-max-t	s-min		s-min-t	shear		shear-t
49.714	30.514	6.52E-09	125.77	-1.59E-08	35.77	2.25E-08	350.77
50.756	30.520	1.19E-08	122.66	-3.06E-08	32.66	4.25E-08	347.66
51.798	30.518	1.29E-08	115.85	-1.82E-08	25.85	3.11E-08	340.85
52.840	30.508	4.27E-09	100.95	-5.55E-09	10.95	9.82E-09	325.95
53.881	30.489	5.48E-09	73.23	-3.44E-09	343.23	8.92E-09	298.23
54.921	30.462	8.02E-09	83.94	-8.69E-09	353.94	1.67E-08	308.94
55.959	30.426	6.10E-09	89.3	-1.35E-08	359.3	1.96E-08	314.3
56.996	30.383	1.28E-08	113.3	-2.01E-08	23.3	3.29E-08	338.3
58.030	30.331	2.30E-08	121.62	-2.91E-08	31.62	5.21E-08	346.62
59.060	30.271	2.47E-08	123.39	-1.82E-08	33.39	4.29E-08	348.39
60.088	30.203	1.38E-08	131.63	-1.84E-08	41.63	3.21E-08	356.63
61.112	30.128	1.07E-08	128.01	-2.06E-08	38.01	3.13E-08	353.01
48.650	31.401	-5.45E-09	113.79	-1.38E-08	23.79	8.32E-09	338.79
49.701	31.416	8.68E-09	122.69	-2.57E-08	32.69	3.44E-08	347.69
50.753	31.423	1.21E-08	124.2	-2.97E-08	34.2	4.18E-08	349.2
51.806	31.420	1.45E-08	115.85	-1.04E-08	25.85	2.50E-08	340.85
52.857	31.410	8.96E-09	115.02	4.47E-10	25.02	8.51E-09	340.02
53.908	31.390	5.09E-09	111.89	-1.06E-09	21.89	6.15E-09	336.89
54.958	31.362	7.68E-09	103.63	-7.94E-09	13.63	1.56E-08	328.63
56.006	31.325	8.97E-09	93.86	-1.54E-08	3.86	2.43E-08	318.86
57.052	31.280	7.37E-09	104.6	-1.95E-08	14.6	2.69E-08	329.6
58.095	31.226	8.70E-09	119.95	-1.66E-08	29.95	2.53E-08	344.95
59.136	31.164	1.15E-08	125.79	-1.45E-08	35.79	2.60E-08	350.79
60.173	31.094	1.02E-08	130.44	-1.94E-08	40.44	2.97E-08	355.44
61.206	31.016	6.72E-09	120.33	-3.79E-08	30.33	4.47E-08	345.33
47.566	32.278	-9.49E-09	109.78	-1.20E-08	19.78	2.47E-09	334.78
48.627	32.303	-2.48E-09	103.51	-2.11E-08	13.51	1.86E-08	328.51
49.689	32.318	2.21E-09	110.5	-2.70E-08	20.5	2.92E-08	335.5
50.751	32.325	6.82E-09	114.03	-2.16E-08	24.03	2.84E-08	339.03
51.813	32.322	8.89E-09	103.22	-5.77E-09	13.22	1.47E-08	328.22
52.876	32.311	9.81E-09	116.71	1.26E-10	26.71	9.69E-09	341.71
53.937	32.291	9.81E-09	120.64	-1.07E-09	30.64	1.09E-08	345.64
54.997	32.262	8.85E-09	108.39	-6.83E-09	18.39	1.57E-08	333.39
56.055	32.224	7.27E-09	115.26	-1.25E-08	25.26	1.97E-08	340.26
57.111	32.177	1.13E-08	117.16	-1.51E-08	27.16	2.63E-08	342.16
58.164	32.122	1.37E-08	122.62	-1.35E-08	32.62	2.71E-08	347.62
59.214	32.057	1.17E-08	126.04	-1.23E-08	36.04	2.40E-08	351.04
60.261	31.985	1.30E-08	130.34	-1.76E-08	40.34	3.06E-08	355.34
61.303	31.904	8.49E-09	132.47	-1.56E-08	42.47	2.41E-08	357.47
46.462	33.144	7.61E-09	127.53	-9.15E-09	37.53	1.68E-08	352.53
47.532	33.179	7.87E-10	108.51	-1.30E-08	18.51	1.38E-08	333.51
48.603	33.204	1.25E-09	105.3	-1.73E-08	15.3	1.85E-08	330.3
49.675	33.220	4.05E-09	106.18	-1.72E-08	16.18	2.12E-08	331.18
50.748	33.227	-2.94E-10	112.89	-9.34E-09	22.89	9.05E-09	337.89
51.822	33.224	4.69E-09	90.69	-6.37E-09	0.69	1.11E-08	315.69
52.895	33.213	7.87E-09	86.66	-7.29E-09	356.66	1.52E-08	311.66
53.967	33.192	7.82E-09	88.98	-7.34E-09	358.98	1.52E-08	313.98
55.037	33.162	6.49E-10	122.3	-7.34E-09	32.3	7.99E-09	347.3
56.106	33.122	7.41E-11	317.45	-1.71E-08	47.45	1.72E-08	2.45
57.172	33.074	8.28E-09	120.09	-1.13E-08	30.09	1.96E-08	345.09
58.236	33.017	1.39E-08	121.61	-1.31E-08	31.61	2.69E-08	346.61
59.296	32.950	1.53E-08	120.07	-1.97E-08	30.07	3.50E-08	345.07
60.353	32.875	1.51E-08	121.76	-2.66E-08	31.76	4.17E-08	346.76
61.406	32.791	1.30E-08	129.13	-3.49E-08	39.13	4.79E-08	354.13
46.414	34.044	7.82E-09	109.69	-1.19E-08	19.69	1.97E-08	334.69
47.495	34.079	3.80E-09	106.08	-1.29E-08	16.08	1.67E-08	331.08
48.578	34.105	4.55E-09	105.84	-1.06E-08	15.84	1.52E-08	330.84
49.661	34.122	8.07E-09	107.3	-7.31E-09	17.3	1.54E-08	332.3
50.746	34.129	2.09E-09	96.64	-5.89E-09	6.64	7.98E-09	321.64
51.830	34.126	5.06E-09	107.27	-8.18E-09	17.27	1.32E-08	332.27
52.914	34.114	8.04E-09	102.28	-1.40E-08	12.28	2.20E-08	327.28
53.998	34.093	8.94E-09	94.88	-1.48E-08	4.88	2.37E-08	319.88
55.079	34.061	-1.01E-09	129.41	-1.69E-08	39.41	1.58E-08	354.41
56.159	34.021	-9.01E-10	335.3	-1.19E-08	65.3	1.10E-08	20.3
57.237	33.971	3.49E-09	112.17	-9.87E-09	22.17	1.34E-08	337.17
58.311	33.911	1.03E-08	118.08	-1.56E-08	28.08	2.59E-08	343.08
59.382	33.843	1.44E-08	120.32	-2.48E-08	30.32	3.92E-08	345.32
60.450	33.765	1.56E-08	120.12	-2.74E-08	30.12	4.30E-08	345.12
61.513	33.678	1.47E-08	123.86	-2.77E-08	33.86	4.24E-08	348.86
46.365	34.942	6.85E-09	103.79	-7.29E-09	13.79	1.41E-08	328.79
