 47.596	 32.807	  8.200	  0.483
 47.521	 32.781	  6.200	  0.485
 47.385	 32.749	 11.000	  1.705
 47.556	 32.753	  9.000	  0.365
 47.531	 32.721	 11.500	  0.705
 47.594	 32.783	  6.400	  0.704
 47.467	 32.750	 10.000	  0.311
 47.609	 32.761	  9.800	  5.416
 47.785	 32.702	 10.000	  0.370
 47.877	 32.548	 10.000	  0.461
 47.768	 32.714	 11.100	  0.790
 47.708	 32.712	 10.500	  2.782
 47.650	 32.751	  9.400	  2.483
 47.711	 32.716	 10.400	  1.493
 47.765	 32.644	 12.200	  0.578
 47.557	 32.759	  9.200	  0.546
 47.571	 32.748	  9.900	  0.972
 47.869	 32.550	  9.600	  1.760
 47.797	 32.764	 11.500	  1.295
 47.866	 32.554	  9.500	  1.587
 47.464	 32.713	 15.100	  2.074
 47.849	 32.560	  9.900	  1.504
 47.641	 32.685	 10.000	  0.355
 47.565	 32.753	  9.200	  0.472
 47.577	 32.700	  9.400	  1.038
 47.574	 32.703	 10.300	  1.028
 47.468	 32.711	 15.000	  1.673
 47.421	 32.709	 13.900	  0.819
 47.545	 32.759	  8.500	  0.370
 47.580	 32.809	  7.500	  0.828
 47.602	 32.769	  8.200	  2.166
 47.577	 32.729	  9.600	  0.862
 47.531	 32.721	 12.400	  0.928
 47.806	 32.797	  9.500	  1.403
 47.586	 32.716	  9.600	  2.125
 47.482	 32.761	 13.800	  1.597
 47.789	 32.710	  9.700	  1.536
 47.471	 32.735	 11.900	  1.049
 47.677	 32.692	 11.000	  1.232
 47.642	 32.722	  8.800	  1.536
 47.473	 32.722	 14.000	  1.900
 47.382	 32.750	 10.200	  0.637
 47.794	 32.592	 12.100	  1.169
 47.764	 32.704	 10.800	  2.196
 47.464	 32.538	  9.400	  2.213
 47.461	 32.539	  9.300	  1.324
 47.827	 32.658	 12.200	  0.171
 47.874	 32.547	  8.700	  2.080
 47.886	 32.557	  8.900	  1.341
 47.912	 32.492	  9.300	  0.212
 47.912	 32.492	  9.700	  0.862
 47.792	 32.725	 11.100	  0.881
 47.565	 32.787	  9.500	  0.838
 47.915	 32.495	  8.600	  1.268
 47.915	 32.492	  8.800	  1.416
 47.648	 32.686	 10.100	  1.201
 47.788	 32.727	 10.300	  0.878
 47.859	 32.560	  8.400	  0.848
 47.629	 32.681	  9.300	  0.376
 47.594	 32.781	  8.100	  2.592
 47.676	 32.713	  8.200	  1.328
 47.834	 32.564	  8.300	  1.292
 47.737	 32.683	  9.000	  0.815
 47.618	 32.691	 10.300	  5.500
 47.645	 32.734	  9.300	  0.173
 47.859	 32.563	  6.100	  2.786
 47.755	 32.663	 11.000	  0.296
 47.596	 32.717	  9.900	  1.018
 47.882	 32.560	  8.000	  2.526
 47.712	 32.683	  9.900	  1.110
 47.793	 32.590	 13.000	  0.770
 47.750	 32.601	 10.600	  1.240
 47.784	 32.722	 11.100	  1.643
 47.823	 32.683	 11.700	  3.285
 47.597	 32.800	  9.100	  1.011
 47.584	 32.765	  8.800	  2.340
 47.583	 32.765	  9.800	  0.874
 47.734	 32.655	 11.700	  0.250
 47.799	 32.765	 11.800	  1.053
 47.586	 32.708	 10.900	  1.240
 47.589	 32.710	 11.000	  2.000
 47.971	 32.518	  8.600	  3.020
 47.468	 32.540	  9.500	  0.986
 47.578	 32.765	  8.300	  0.515
 47.465	 32.544	  9.900	  0.363
 47.579	 32.767	  9.200	  0.456
 47.469	 32.542	  9.700	  3.151
 47.837	 32.559	  9.400	  0.787
 47.836	 32.552	  9.500	  0.892
 47.536	 32.748	 10.400	  0.483
 47.767	 32.702	 11.000	  0.463
 47.578	 32.799	  8.900	  1.992
 47.560	 32.718	  8.100	  0.996
 47.764	 32.704	 10.900	  0.395
 47.524	 32.759	 10.000	  1.264
 47.465	 32.712	 14.300	  1.597
 47.636	 32.743	  8.800	  2.136
 47.824	 32.682	 12.300	  0.731
 47.801	 32.700	  8.800	  3.189
 47.615	 32.706	  9.400	  0.319
 47.764	 32.705	 11.100	  1.914
 47.449	 32.714	 14.000	  1.491
 47.465	 32.708	 14.000	  2.829
 47.747	 32.646	 12.200	  1.808
 47.537	 32.799	  6.500	  2.059
 47.700	 32.712	  9.600	  2.538
 47.722	 32.662	 11.200	  0.945
 47.655	 32.751	  9.100	  0.494
 47.576	 32.795	  6.400	  0.815
 47.461	 32.749	 11.200	  2.652
 47.422	 32.710	 13.700	  0.721
 47.592	 32.691	 10.700	  1.003
 47.748	 32.696	 11.100	  0.212
 47.823	 32.700	 11.500	  4.449
 47.532	 32.757	  9.100	  0.421
 47.466	 32.752	 11.500	  0.354
 47.612	 32.675	 10.800	  3.252
 47.545	 32.754	 10.300	  0.363
 47.536	 32.756	  8.200	  2.782
 47.576	 32.743	  9.500	  2.537
 47.518	 32.768	  9.600	  2.118
 47.801	 32.791	 10.400	  1.103
 47.641	 32.754	  9.000	  1.983
 47.808	 32.789	 10.700	  1.049
 47.751	 32.675	 10.700	  0.390
 47.529	 32.755	  8.300	  1.516
 47.568	 32.742	  9.000	  1.018
 47.628	 32.692	 10.100	  0.947
 47.776	 32.768	 14.300	  1.345
 47.495	 32.744	 11.400	  2.183
 47.583	 32.721	 10.300	  1.275
 47.481	 32.747	 11.500	  1.983
 47.440	 32.710	 13.200	  2.576
 47.545	 32.713	 10.100	  0.600
 47.610	 32.742	  8.100	  0.819
 47.773	 32.685	  9.700	  1.169
 47.551	 32.751	  9.000	  2.721
 47.553	 32.751	  9.200	  0.676
 47.569	 32.744	  9.100	  0.893
 47.572	 32.719	 10.500	  0.671
 47.586	 32.715	  8.900	  1.053
 47.587	 32.715	 10.700	  0.565
 47.762	 32.718	  9.400	  2.000
 47.620	 32.693	 10.500	  2.334
 47.619	 32.681	 11.600	  1.415
 47.571	 32.747	  7.900	  1.787
 47.584	 32.702	 10.400	  0.569
 47.515	 32.727	 11.700	  1.338
 47.739	 32.662	 11.800	  1.521
 47.765	 32.708	 11.000	  1.296
 47.779	 32.692	  9.600	  1.295
 47.746	 32.645	 11.200	  0.413
 47.630	 32.727	  9.200	  2.144
 47.642	 32.772	 11.600	  0.442
 47.817	 32.686	 12.400	  1.270
