     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  47.678  32.685     9.3     0.0      99      99    99.0     360   0.148     0.6     0.7  2014 08 23 10 39 45.14
  47.696  32.724     9.6     0.0      99      99    99.0     360   0.105     0.3     0.3  2014 08 23 10 53 49.97
  47.693  32.724     9.9     0.0      99      99    99.0     360   0.109     0.4     0.2  2014 08 23 10 53 49.97
  47.676  32.671    10.0     0.0      99      99    99.0     360   0.119     0.5     0.6  2014 08 23 11 02 48.95
  47.799  32.781     9.4     0.0      99      99    99.0     360   0.133     0.4     0.6  2014 08 23 11 15 30.96
  47.741  32.697    10.5     0.0      99      99    99.0     360   0.212     0.8     0.9  2014 08 23 11 18 31.87
  47.558  32.783    10.2     0.0      99      99    99.0     360   0.148     0.3     0.3  2014 08 23 11 35 52.96
  47.743  32.689    10.4     0.0      99      99    99.0     360   0.125     0.5     0.4  2014 08 23 13 17 33.92
  47.638  32.686     9.9     0.0      99      99    99.0     360   0.132     0.4     0.5  2014 08 23 13 23 19.87
  47.757  32.649    10.8     0.0      99      99    99.0     360   0.141     0.5     0.4  2014 08 23 13 34 03.97
  47.762  32.718     9.4     0.0      99      99    99.0     360   0.067     0.8     0.5  2014 08 23 13 52 26.14
  47.769  32.694     2.6     0.0      99      99    99.0     360   0.267     1.1     1.5  2014 08 23 14 20 01.09
  47.620  32.693    10.5     0.0      99      99    99.0     360   0.074     0.4     0.4  2014 08 23 14 41 20.91
  47.619  32.681    11.6     0.0      99      99    99.0     360   0.063     0.4     0.4  2014 08 23 14 54 01.90
  47.571  32.747     7.9     0.0      99      99    99.0     360   0.070     0.3     0.3  2014 08 23 15 00 04.00
  47.584  32.702    10.4     0.0      99      99    99.0     360   0.094     0.4     0.3  2014 08 23 15 25 24.92
  47.515  32.727    11.7     0.0      99      99    99.0     360   0.084     0.4     0.3  2014 08 23 15 29 17.01
  47.521  32.729    10.8     0.0      99      99    99.0     360   0.153     0.5     0.5  2014 08 23 16 03 49.89
  47.716  32.644    12.1     0.0      99      99    99.0     360   0.123     0.5     0.4  2014 08 23 16 39 57.90
  47.586  32.714    11.0     0.0      99      99    99.0     360   0.133     0.3     0.3  2014 08 23 16 59 59.97
  47.616  32.708     8.4     0.0      99      99    99.0     360   0.167     0.3     0.4  2014 08 23 17 05 18.03
  47.579  32.681     9.8     0.0      99      99    99.0     360   0.118     0.3     0.3  2014 08 23 17 19 14.11
  47.739  32.662    11.8     0.0      99      99    99.0     360   0.099     0.6     0.5  2014 08 23 17 29 07.01
  47.725  32.658     9.3     0.0      99      99    99.0     360   0.225     1.0     0.6  2014 08 23 17 36 41.15
  47.632  32.651     2.4     0.0      99      99    99.0     360   0.242     1.5     5.6  2014 08 23 17 47 18.00
  47.713  32.634    10.3     0.0      99      99    99.0     360   0.210     0.6     0.5  2014 08 23 17 49 12.06
  47.629  32.713     9.6     0.0      99      99    99.0     360   0.115     0.4     0.4  2014 08 23 18 14 40.00
  47.587  32.715    10.7     0.0      99      99    99.0     360   0.070     0.3     0.3  2014 08 23 18 21 16.92
  47.501  32.811     8.7     0.0      99      99    99.0     360   0.122     0.4     0.4  2014 08 23 18 33 17.00
  47.499  32.734    11.8     0.0      99      99    99.0     360   0.175     0.5     0.3  2014 08 23 18 35 58.03
  47.546  32.744    11.6     0.0      99      99    99.0     360   0.115     0.4     0.3  2014 08 23 18 38 31.17
  47.489  32.747    10.4     0.0      99      99    99.0     360   0.120     0.3     0.4  2014 08 23 18 49 24.00
  47.551  32.751     9.0     0.0      99      99    99.0     360   0.071     0.4     0.4  2014 08 23 19 07 32.96
  47.553  32.751     9.2     0.0      99      99    99.0     360   0.074     0.3     0.4  2014 08 23 19 07 33.02
  47.579  32.683    11.7     0.0      99      99    99.0     360   0.105     0.3     0.3  2014 08 23 19 14 35.88
  47.712  32.758     9.5     0.0      99      99    99.0     360   0.115     0.5     0.3  2014 08 23 19 25 59.03
  47.622  32.689    10.0     0.0      99      99    99.0     360   0.113     0.4     0.5  2014 08 23 19 30 38.97
  47.492  32.760     9.0     0.0      99      99    99.0     360   0.192     0.3     0.6  2014 08 23 19 53 40.03
  47.802  32.699    10.0     0.0      99      99    99.0     360   0.150     0.7     0.5  2014 08 23 23 17 59.96
  47.489  32.760    11.3     0.0      99      99    99.0     360   0.157     0.4     0.4  2014 08 24 01 06 53.00
  47.549  32.755    10.0     0.0      99      99    99.0     360   0.100     0.3     0.4  2014 08 24 01 12 47.97
  47.569  32.744     9.1     0.0      99      99    99.0     360   0.082     0.3     0.3  2014 08 24 01 25 06.11
  47.526  32.810    10.0     0.0      99      99    99.0     360   0.144     0.4     0.4  2014 08 24 01 50 53.97
