47.544	32.798	11.4
47.482	32.734	13.0
47.805	32.707	10.0
47.6	32.777	7.5
47.578	32.734	10.0
47.65	32.745	10.5
47.541	32.787	11.2
47.39	32.733	8.2
47.235	32.769	12.4
47.461	32.755	10.6
47.669	32.75	10.1
47.738	32.767	11.3
47.533	32.73	14.1
47.724	32.75	11.5
47.549	32.767	10.1
47.657	32.76	12.1
47.421	32.716	12.7
47.774	32.717	13.0
47.66	32.689	9.1
47.6	32.804	10.8
47.515	32.726	11.5
47.583	32.793	10.1
47.642	32.677	14.0
47.779	32.677	10.8
47.603	32.67	15.3
47.611	32.779	10.2
47.566	32.76	9.4
47.582	32.705	11.6
47.631	32.731	11.7
47.579	32.708	11.8
47.897	32.663	12.8
47.804	32.687	10.6
47.795	32.672	12.0
47.706	32.617	13.7
47.575	32.709	11.3
47.773	32.678	10.4
47.466	32.719	14.4
47.814	32.801	10.2
47.814	32.714	9.8
47.806	32.712	10.2
47.585	32.701	11.6
47.588	32.796	9.6
47.743	32.62	11.8
47.552	32.787	10.4
47.738	32.689	11.1
47.829	32.81	8.9
47.822	32.806	10.4
47.812	32.802	10.2
47.823	32.808	9.2
47.686	32.745	10.2
47.819	32.698	12.5
47.823	32.816	9.8
47.794	32.696	10.4
47.825	32.731	9.0
47.566	32.789	11.6
47.821	32.717	9.6
47.527	32.829	10.1
47.751	32.619	11.2
47.635	32.729	10.4
47.638	32.73	10.1
47.487	32.784	10.4
47.474	32.731	13.9
47.576	32.709	11.5
47.207	32.397	12.7
47.197	32.436	17.1
47.255	32.459	20.1
47.259	32.487	18.0
47.59	32.783	10.6
47.854	32.813	10.7
47.519	32.754	10.7
47.671	32.623	14.2
47.59	32.722	11.7
47.766	32.681	10.1
47.576	32.79	11.8
47.588	32.778	8.0
47.589	32.808	7.5
47.467	32.759	12.1
47.825	32.683	12.2
47.766	32.646	14.3
47.797	32.716	8.3
47.76	32.642	11.4
47.593	32.725	11.4
47.446	32.722	12.0
47.742	32.637	12.3
47.725	32.744	10.5
47.731	32.748	10.2
47.543	32.723	9.7
47.613	32.667	13.0
47.429	32.768	10.6
47.482	32.766	13.5
47.514	32.734	11.9
47.585	32.694	11.8
47.625	32.704	12.1
47.752	32.716	10.0
47.685	32.69	10.3
47.847	32.664	6.9
47.617	32.732	10.4
47.818	32.714	10.0
47.808	32.723	8.5
47.608	32.821	10.9
47.466	32.745	12.0
47.776	32.708	10.5
47.793	32.724	8.5
47.607	32.754	16.8
47.612	32.773	8.1
47.782	32.597	13.4
47.607	32.79	8.2
47.598	32.771	7.6
47.668	32.687	11.4
47.801	32.689	12.4
47.654	32.739	9.3
47.585	32.793	5.9
47.671	32.688	13.9
47.671	32.692	13.9
47.727	32.707	10.1
47.796	32.713	10.1
47.482	32.746	11.7
47.471	32.71	16.0
47.555	32.742	10.1
47.579	32.698	13.1
47.533	32.725	13.0
47.722	32.609	14.4
47.723	32.71	11.9
47.581	32.78	7.8
47.82	32.697	7.0
47.194	32.56	18.4
47.732	32.755	9.8
47.608	32.792	7.4
47.847	32.808	6.9
47.484	32.766	12.5
47.799	32.691	10.1
47.474	32.757	13.0
47.495	32.76	9.6
47.509	32.832	9.7
47.736	32.7	10.6
47.831	32.693	12.1
47.645	32.658	10.3
47.494	32.744	11.4
47.801	32.692	11.7
47.719	32.705	11.6
47.539	32.763	13.4
47.558	32.76	10.3
47.646	32.693	11.5
47.607	32.72	10.6
47.593	32.791	14.4
47.767	32.677	9.7
47.65	32.701	11.9
47.601	32.816	8.1
47.595	32.81	7.1
47.689	32.696	10.4
47.524	32.79	8.3
47.599	32.789	7.3
47.384	32.764	10.3
47.387	32.761	8.6
47.512	32.78	7.4
47.519	32.793	10.9
47.805	32.71	11.8
47.519	32.714	10.0
47.74	32.687	10.2
47.507	32.782	8.4
47.714	32.667	12.1
47.553	32.818	7.3
47.581	32.819	8.7
47.819	32.679	13.0
47.857	32.759	8.8
47.389	32.758	10.0
47.799	32.66	11.8
47.606	32.765	8.3
